"PWS ID","PWS Name","EPA Region","Primacy Agency","PWS Type","Primacy Type","Primary Source","Activity Status","Deactivation Date","Population Served Count","Rule Name","Violation Code","Violation Type","Violation Category Code","Is Health Based","Contaminant Name","Compliance Period Begin Date","Compliance Period End Date","Compliance Status","RTC Date","Enforcement Action Type Code","Enforcement Action Description","Is Major Violation","Severity Indicator Count","Public Notification Tier","Violation First Reported Date"
"OR4100525","VILLADOM MOBILE HOME PARK","Region 10","Oregon","Community water system","State","Ground water","Active","-","96","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"AK2360272","GALENA WTP1 - CITY","Region 10","Alaska","Community water system","State","Ground water","Active","-","470","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","19-NOV-2020"
"AK2390594","DENALI - MAIN / FRONT COUNTRY","Region 10","Alaska","Non-Transient non-community system","State","Surface water","Active","-","4,741","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JUL-2020","-","Returned to Compliance","13-JUL-2020","SOX","State Compliance achieved","-","-","3","19-NOV-2020"
"AK2214138","CLITHEROE DETOX CENTER","Region 10","Alaska","Non-Transient non-community system","State","Ground water","Active","-","95","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","19-NOV-2020"
"ID2250011","CLEARWATER WATER DIST","Region 10","Idaho","Community water system","State","Ground water","Active","-","80","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","SIE","State Public Notification requested","-","-","3","02-DEC-2020"
"AK2214544","AMAZING GRACE LUTHERAN CHURCH","Region 10","Alaska","Non-Transient non-community system","State","Ground water","Active","-","354","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","19-NOV-2020"
"ID7190013","CHALLIS CITY OF","Region 10","Idaho","Community water system","State","Surface water","Active","-","847","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","SIE","State Public Notification requested","-","-","3","02-DEC-2020"
"AK2360159","GALENA WTP2 - GILA","Region 10","Alaska","Community water system","State","Ground water","Active","-","290","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","19-NOV-2020"
"AK2270752","LKSD QUINHAGAK & TEACHER HSG","Region 10","Alaska","Non-Transient non-community system","State","Surface water purchased","Active","-","284","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","19-NOV-2020"
"OR4192641","USFS TIMBERLINE LODGE 1","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","500","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Returned to Compliance","10-AUG-2020","SOX","State Compliance achieved","-","-","3","24-NOV-2020"
"OR4192641","USFS TIMBERLINE LODGE 1","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","500","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"OR4193717","RENAISSANCE PUBLIC ACADEMY","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","100","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"AK2271059","PLATINUM CITY WATER SYSTEM","Region 10","Alaska","Community water system","State","Groundwater under influence of surface water","Active","-","51","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","19-NOV-2020"
"OR4100002","ADRIAN, CITY OF","Region 10","Oregon","Community water system","State","Ground water","Active","-","180","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"OR4100937","WELCHES WATER COMPANY","Region 10","Oregon","Community water system","State","Ground water","Active","-","60","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Returned to Compliance","12-AUG-2020","SOX","State Compliance achieved","-","-","3","24-NOV-2020"
"OR4100232","COLORADO LAKE COOP","Region 10","Oregon","Community water system","State","Ground water","Active","-","80","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"AK2271211","TUNTUTULIAK WASHETERIA AND WATERING PT","Region 10","Alaska","Community water system","State","Ground water","Active","-","350","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","19-NOV-2020"
"OR4195528","RIVERBEND ORGANIC FARMS","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","38","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Returned to Compliance","22-JUL-2020","SOX","State Compliance achieved","-","-","3","24-NOV-2020"
"OR4190043","INTERFOR PACIFIC INC","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","100","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"OR4192804","USFS MCKENZIE RIVER RANGER STATION","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","63","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"OR4192804","USFS MCKENZIE RIVER RANGER STATION","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","63","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"OR4100474","LAWRENCE SUBDIVISION WTR ASSN","Region 10","Oregon","Community water system","State","Ground water","Active","-","125","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Returned to Compliance","30-SEP-2020","SOX","State Compliance achieved","-","-","3","24-NOV-2020"
"AK2272004","KOTLIK WATER SYSTEM","Region 10","Alaska","Community water system","State","Surface water","Active","-","617","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","19-NOV-2020"
"AK2271999","BETHEL-CITY S/D WATER","Region 10","Alaska","Community water system","State","Ground water","Active","-","1,650","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Returned to Compliance","26-JUL-2020","SOX","State Compliance achieved","-","-","3","19-NOV-2020"
"AK2261460","SALMON ROE","Region 10","Alaska","Community water system","State","Ground water","Active","-","31","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","19-NOV-2020"
"OR4191805","ELMIRA HIGH/ELEMENTARY","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","735","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"AK2244222","RAZDOLNA ELEMENTARY SCHOOL","Region 10","Alaska","Non-Transient non-community system","State","Ground water","Active","-","50","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JUL-2020","-","Returned to Compliance","08-SEP-2020","SOX","State Compliance achieved","-","-","3","19-NOV-2020"
"OR4100329","NESIKA BEACH-OPHIR WD","Region 10","Oregon","Community water system","State","Ground water","Active","-","1,500","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"OR4100329","NESIKA BEACH-OPHIR WD","Region 10","Oregon","Community water system","State","Ground water","Active","-","1,500","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"AK2330141","POLARIS CAMP WING B","Region 10","Alaska","Transient non-community system","State","Surface water purchased","Active","-","84","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","19-NOV-2020"
"AK2330140","POLARIS CAMP WING A","Region 10","Alaska","Transient non-community system","State","Surface water purchased","Active","-","84","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","19-NOV-2020"
"OR4100525","VILLADOM MOBILE HOME PARK","Region 10","Oregon","Community water system","State","Ground water","Active","-","96","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"OR4195599","NPL CONSTRUCTION","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","50","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"AK2330133","CONOCO PHILLIPS AKS WILLOW 1","Region 10","Alaska","Transient non-community system","State","Surface water","Active","-","480","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","19-NOV-2020"
"AK2218822","MATTHEWS SUBDIVISION","Region 10","Alaska","Community water system","State","Ground water","Active","-","32","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","19-NOV-2020"
"AK2243006","COPPER CENTER","Region 10","Alaska","Non-Transient non-community system","State","Ground water","Active","-","175","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","19-NOV-2020"
"OR4100421","FERNRIDGE MOBILE ESTATES","Region 10","Oregon","Community water system","State","Ground water","Active","-","250","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Returned to Compliance","21-SEP-2020","SOX","State Compliance achieved","-","-","3","24-NOV-2020"
"OR4100962","DUNN COURT DUPLEXES","Region 10","Oregon","Community water system","State","Ground water","Active","-","88","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Returned to Compliance","14-JUL-2020","SOX","State Compliance achieved","-","-","3","24-NOV-2020"
"OR4101125","MOUNTAIN VIEW MOBILE ESTATES","Region 10","Oregon","Community water system","State","Ground water","Active","-","95","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"OR4101125","MOUNTAIN VIEW MOBILE ESTATES","Region 10","Oregon","Community water system","State","Ground water","Active","-","95","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"AK2250061","OLD HARBOR","Region 10","Alaska","Community water system","State","Surface water","Active","-","216","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","19-NOV-2020"
"OR4195630","COLUMBIA HELICOPTERS","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","400","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"OR4100379","JOINT WATER COMMISSION","Region 10","Oregon","Community water system","State","Surface water","Active","-","0","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"AK2270176","ST. MARYS WATER SYSTEM","Region 10","Alaska","Community water system","State","Surface water","Active","-","561","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","19-NOV-2020"
"AK2280171","ANVIK WATER SYSTEM","Region 10","Alaska","Community water system","State","Ground water","Active","-","96","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","19-NOV-2020"
"OR4100311","GARIBALDI WATER SYSTEM","Region 10","Oregon","Community water system","State","Ground water","Active","-","797","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Returned to Compliance","02-SEP-2020","SOX","State Compliance achieved","-","-","3","24-NOV-2020"
"AK2272756","MERTARVIK WATER SYSTEM","Region 10","Alaska","Community water system","State","Ground water","Active","-","80","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","19-NOV-2020"
"ID1280157","ROCKY BEACH WATER DIST","Region 10","Idaho","Community water system","State","Ground water","Active","-","115","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","SIE","State Public Notification requested","-","-","3","02-DEC-2020"
"OR4101365","ANGLERS TRAILER VILLAGE","Region 10","Oregon","Community water system","State","Ground water","Changed from public to non-public","14-SEP-2020","34","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","System Inactive","14-SEP-2020","-","-","-","-","3","24-NOV-2020"
"OR4100910","SPORTSMANS PARK WATER ASSN","Region 10","Oregon","Community water system","State","Ground water","Active","-","150","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"OR4101334","RIMROCK WEST IMPRVMNT DIST","Region 10","Oregon","Community water system","State","Ground water","Active","-","150","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Returned to Compliance","04-SEP-2020","SOX","State Compliance achieved","-","-","3","24-NOV-2020"
"AK2270061","OSCARVILLE WATERING POINT","Region 10","Alaska","Community water system","State","Groundwater under influence of surface water","Active","-","75","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","19-NOV-2020"
"OR4100029","PERIWINKLE MOBILE HOME PARK","Region 10","Oregon","Community water system","State","Ground water","Active","-","55","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"OR4100029","PERIWINKLE MOBILE HOME PARK","Region 10","Oregon","Community water system","State","Ground water","Active","-","55","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"OR4100029","PERIWINKLE MOBILE HOME PARK","Region 10","Oregon","Community water system","State","Ground water","Active","-","55","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"ID7220037","ISLAND PARK VILLAGE","Region 10","Idaho","Non-Transient non-community system","State","Ground water","Active","-","300","Lead and Copper Rule","57","OCCT/SOWT Study/Recommendation","TT","Y","Lead and Copper Rule","01-APR-2020","-","Open","-","SIE","State Public Notification requested","-","-","2","10-SEP-2020"
