"PWS ID","PWS Name","EPA Region","Primacy Agency","PWS Type","Primacy Type","Area Type","County Served","City Served","Zip Code Served","Tribal Code","Tribal Description","Activity Status","Deactivation Date","Address Line1","Address Line2","State Code","Zip Code"
"IL1035269","NACHUSA LUTHERAN HOME","05","Illinois","Community water system","State","County","Lee","-","-","-","-","Changed from public to non-public","02-MAR-2006","1261 IL RTE 38","PO BOX 100","IL","61057"
"IL1050500","DANA/LONG POINT, READING, ANCONA RWD","05","Illinois","Community water system","State","County","Livingston","-","-","-","-","Changed from public to non-public","04-JAN-2016","ILLINOIS AMERICAN WATER","100 NORTH WATERWORKS DRIVE","IL","62223"
"IL1055189","GOOD SAMARITAN PONTIAC","05","Illinois","Community water system","State","County","Livingston","-","-","-","-","Changed from public to non-public","02-NOV-2016","14335 HIGHWAY 66","-","IL","61764"
"IL1055510","DWIGHT CORRECTIONAL CENTER","05","Illinois","Community water system","State","County","Livingston","-","-","-","-","Changed from public to non-public","02-APR-2014","700 W. Lincon St.","P.O. Box 99","IL","61764"
"IL1070010","SHADY GROVE MHP","05","Illinois","Community water system","State","County","Logan","-","-","-","-","Changed from public to non-public","30-NOV-2001","-","-","IL","47201"
"IL0755150","BELMONT WATER INC","05","Illinois","Community water system","State","County","Iroquois","-","-","-","-","Changed from public to non-public","14-APR-2014","BELMONT WATER INC.","PO BOX 334","IL","60970"
"IL0855145","WOODLAND VALLEY","05","Illinois","Community water system","State","County","Jo Daviess","-","-","-","-","Changed from public to non-public","19-DEC-2001","-","-","IL","61041"
"IL0855145","WOODLAND VALLEY","05","Illinois","Community water system","State","City","-","HANOVER TWP","-","-","-","Changed from public to non-public","19-DEC-2001","-","-","IL","61041"
"IL0859500","APPLE CANYON STATE PARK","05","Illinois","Community water system","State","County","Jo Daviess","-","-","-","-","Changed from public to non-public","20-FEB-2018","-","-","IL","-"
"IL0859500","APPLE CANYON STATE PARK","05","Illinois","Community water system","State","City","-","RUSH TWP","-","-","-","Changed from public to non-public","20-FEB-2018","-","-","IL","-"
"IL1075169","BARTMANN HEALTH CARE CENTER","05","Illinois","Community water system","State","County","Logan","-","-","-","-","Changed from public to non-public","13-JUL-2001","-","-","IL","61723"
"IL1075169","BARTMANN HEALTH CARE CENTER","05","Illinois","Community water system","State","City","-","EMINENCE TWP","-","-","-","Changed from public to non-public","13-JUL-2001","-","-","IL","61723"
"IL1095125","COUNTRY LIVING ESTATES, LLC","05","Illinois","Community water system","State","County","McDonough","-","-","-","-","Changed from public to non-public","18-DEC-2017","12122 N. ROUTE 84","-","IL","61275"
"IL1110090","TROUT VALLEY ASSOCIATION","05","Illinois","Community water system","State","County","McHenry","-","-","-","-","Changed from public to non-public","07-FEB-2003","TROUT VALLEY ASSOCIATION","167 COUNTRY COMMONS ROAD","IL","60013"
"IL1115100","CRYSTAL HEIGHTS ASSOCIATION","05","Illinois","Community water system","State","County","McHenry","-","-","-","-","Changed from public to non-public","12-SEP-2005","40 KENT AVE","-","IL","60014"
"IL0895185","DEARBORN MHP","05","Illinois","Community water system","State","City","-","AURORA","-","-","-","Changed from public to non-public","05-JAN-2009","PO BOX 309","-","IL","60522"
"IL0895185","DEARBORN MHP","05","Illinois","Community water system","State","County","Kane","-","-","-","-","Changed from public to non-public","05-JAN-2009","PO BOX 309","-","IL","60522"
"IL0895445","PATTERSON MHP","05","Illinois","Community water system","State","County","Kane","-","-","-","-","Changed from public to non-public","06-MAR-2009","1146 JACKSON ST.","-","IL","60505"
"IL0895500","PARK VIEW WATER CORPORATION","05","Illinois","Community water system","State","County","Kane","-","-","-","-","Changed from public to non-public","01-DEC-2005","1335 BINDER ST","-","IL","60505"
"IL0910050","AROMA PARK","05","Illinois","Community water system","State","City","-","AROMA PARK","-","-","-","Changed from public to non-public","25-SEP-2002","1100 COBB BLVD","-","IL","60901"
"IL0910050","AROMA PARK","05","Illinois","Community water system","State","County","Kankakee","-","-","-","-","Changed from public to non-public","25-SEP-2002","1100 COBB BLVD","-","IL","60901"
"IL0910060","HERSCHEL SPORTSMANS CLUB, INC.","05","Illinois","Community water system","State","County","Kankakee","-","-","-","-","Changed from public to non-public","13-JAN-2003","-","-","IL","60917"
"IL0910060","HERSCHEL SPORTSMANS CLUB, INC.","05","Illinois","Community water system","State","City","-","NORTON TWP","-","-","-","Changed from public to non-public","13-JAN-2003","-","-","IL","60917"
"IL0910600","MANTENO","05","Illinois","Community water system","State","City","-","MANTENO","-","-","-","Changed from public to non-public","21-MAR-2012","WATER & SWR","269 N MAIN","IL","60950"
"IL0910600","MANTENO","05","Illinois","Community water system","State","County","Kankakee","-","-","-","-","Changed from public to non-public","21-MAR-2012","WATER & SWR","269 N MAIN","IL","60950"
"IL0915189","GOOD SHEPHERD MANOR","05","Illinois","Community water system","State","County","Kankakee","-","-","-","-","Changed from public to non-public","24-JAN-2008","PO BOX 260","-","IL","60954"
"IL0970210","ROSING LAKEVIEW WATER ASSOCIATION","05","Illinois","Community water system","State","City","-","ANTIOCH","-","-","-","Changed from public to non-public","09-SEP-2008","PO BOX 449","-","IL","60002"
"IL0970210","ROSING LAKEVIEW WATER ASSOCIATION","05","Illinois","Community water system","State","County","Lake","-","-","-","-","Changed from public to non-public","09-SEP-2008","PO BOX 449","-","IL","60002"
"IL1115200","DEERING OAKS SUBDIVISION","05","Illinois","Community water system","State","County","McHenry","-","-","-","-","Changed from public to non-public","20-AUG-2007","509 EAST PARK AVENUE","-","IL","60048"
"IL0971190","RIVERWOODS-SPCL SRVC DSTRCT 17","05","Illinois","Community water system","State","County","Lake","-","-","-","-","Changed from public to non-public","17-AUG-2004","300 PORTWINE ROAD","-","IL","60015"
"IL0971190","RIVERWOODS-SPCL SRVC DSTRCT 17","05","Illinois","Community water system","State","City","-","LINCOLNSHIRE","-","-","-","Changed from public to non-public","17-AUG-2004","300 PORTWINE ROAD","-","IL","60015"
"IL1155125","MCKINLEY MHP","05","Illinois","Community water system","State","County","Macon","-","-","-","-","Changed from public to non-public","24-JAN-2002","-","-","IL","62522"
"IL1155125","MCKINLEY MHP","05","Illinois","Community water system","State","City","-","DECATUR TWP","-","-","-","Changed from public to non-public","24-JAN-2002","-","-","IL","62522"
"IL0915279","OLIVET NAZARENE UNIVERSITY","05","Illinois","Community water system","State","County","Kankakee","-","-","-","-","Changed from public to non-public","08-FEB-2005","ONE UNIVERSITY AVE.","-","IL","609142271"
"IL0915445","RIVERCREST MHP","05","Illinois","Community water system","State","County","Kankakee","-","-","-","-","Changed from public to non-public","08-JUN-2020","1019 E. 5830 SOUTH RD.","-","IL","60922"
"IL0915950","AQUA ILLINOIS-VAUGHNDALE MEADOWS","05","Illinois","Community water system","State","County","Kankakee","-","-","-","-","Changed from public to non-public","09-AUG-2005","1000 S SCHUYLER AVE","PO BOX 152","IL","60901"
"IL0955100","WESTPORT WATER MUTUAL","05","Illinois","Community water system","State","County","Knox","-","-","-","-","Changed from public to non-public","10-SEP-2007","306 DESOTO STREET,   APT. 3","-","IL","61350"
"IL0975250","COUNTRYSIDE MANOR SBDV- LAKE CO PW","05","Illinois","Community water system","State","County","Lake","-","-","-","-","Changed from public to non-public","06-DEC-2005","650 WINCHESTER RD","-","IL","60048"
"IL0975280","SUMMIT HOMEOWNERS ASSOCIATION","05","Illinois","Community water system","State","County","Lake","-","-","-","-","Changed from public to non-public","03-MAY-2007","SUMMIT HOMEOWNERS ASSN","23535 CEDAR","IL","60047"
"IL0977090","STRAWBERRY 1","05","Illinois","Community water system","State","County","Lake","-","-","-","-","Changed from public to non-public","05-MAR-2003","410 E OAK ST","-","IL","60060"
"IL0977199","GLENKIRK CAMPUS SOUTH","05","Illinois","Community water system","State","County","Lake","-","-","-","-","Changed from public to non-public","10-MAY-2002","-","-","IL","60062"
"IL0977199","GLENKIRK CAMPUS SOUTH","05","Illinois","Community water system","State","City","-","FREMONT TWP","-","-","-","Changed from public to non-public","10-MAY-2002","-","-","IL","60062"
"IL0995110","FOUR LAKES SUBDIVISION","05","Illinois","Community water system","State","County","LaSalle","-","-","-","-","Changed from public to non-public","27-SEP-2006","2877 E. 2575TH ROAD","-","IL","61341"
"IL0995445","KINGS MOBILE COURT MHP","05","Illinois","Community water system","State","City","-","OTTAWA","-","-","-","Changed from public to non-public","05-MAR-2003","2010 AIRPORT RD","-","IL","61350"
"IL0995445","KINGS MOBILE COURT MHP","05","Illinois","Community water system","State","County","LaSalle","-","-","-","-","Changed from public to non-public","05-MAR-2003","2010 AIRPORT RD","-","IL","61350"
"IL0071000","EDENFRUIT","05","Illinois","Community water system","State","County","Boone","-","-","-","-","Changed from public to non-public","13-MAY-2009","-","-","IL","61065"
"IL0071000","EDENFRUIT","05","Illinois","Community water system","State","City","-","POPLAR GROVE TWP","-","-","-","Changed from public to non-public","13-MAY-2009","-","-","IL","61065"
"IL1670040","WHISPERING PINES MHP-LOAMI","05","Illinois","Community water system","State","County","Sangamon","-","-","-","-","Changed from public to non-public","05-MAR-2003","PO BOX 213","-","IL","62661"
"IL1675110","FORMOSA PLASTICS","05","Illinois","Community water system","State","County","Sangamon","-","-","-","-","Changed from public to non-public","06-MAY-2005","PO BOX 27","-","IL","62539"
"IL1675145","LINCOLN PLACE MHP","05","Illinois","Community water system","State","City","-","ROCHESTER","-","-","-","Changed from public to non-public","02-APR-2003","1236 NORTH OAK LANE","THE OFFICE","IL","62707"
"IL1675145","LINCOLN PLACE MHP","05","Illinois","Community water system","State","County","Sangamon","-","-","-","-","Changed from public to non-public","02-APR-2003","1236 NORTH OAK LANE","THE OFFICE","IL","62707"
"IL1775185","RIVER ROAD MHP","05","Illinois","Community water system","State","County","Stephenson","-","-","-","-","Changed from public to non-public","23-JUL-2012","2284 WEST GALENA AVENUE","-","IL","61032"
"IL1790040","BROADWAY HOMEOWNERS ASSOCIATION","05","Illinois","Community water system","State","County","Tazewell","-","-","-","-","Changed from public to non-public","24-AUG-2005","5247 BROADWAY RD.","-","IL","61535"
"IL1790060","AUTUMN ACCOLADE SENIOR HOME","05","Illinois","Community water system","State","County","Tazewell","-","-","-","-","Changed from public to non-public","20-FEB-2009","13561 TOWNLINE RD.","-","IL","61534"
"IL1790060","AUTUMN ACCOLADE SENIOR HOME","05","Illinois","Community water system","State","City","-","SOUTH PEKIN","-","-","-","Changed from public to non-public","20-FEB-2009","13561 TOWNLINE RD.","-","IL","61534"
"IL1795460","HERITAGE LAKES SUBDIVISION","05","Illinois","Community water system","State","County","Tazewell","-","-","-","-","Changed from public to non-public","07-JUN-2001","-","-","IL","61755"
"IL1795460","HERITAGE LAKES SUBDIVISION","05","Illinois","Community water system","State","City","-","MACKINAW TWP","-","-","-","Changed from public to non-public","07-JUN-2001","-","-","IL","61755"
"IL1410020","CHINQUAPIN RIDGE ESTATES HOMEOWNERS","05","Illinois","Community water system","State","County","Ogle","-","-","-","-","Changed from public to non-public","30-NOV-2001","-","-","IL","61061"
"IL1410020","CHINQUAPIN RIDGE ESTATES HOMEOWNERS","05","Illinois","Community water system","State","City","-","ROCKVALE TWP","-","-","-","Changed from public to non-public","30-NOV-2001","-","-","IL","61061"
"IL1415145","LAKEVIEW MHP","05","Illinois","Community water system","State","County","Ogle","-","-","-","-","Changed from public to non-public","17-DEC-2008","BOX 931","-","IL","61010"
"IL1435200","FAHNSTOCK COURT SUBDIVISION","05","Illinois","Community water system","State","County","Peoria","-","-","-","-","Changed from public to non-public","08-SEP-2009","1425 N VAUGHN AVE","-","IL","61604"
"IL1435510","TRIVOLI PWD","05","Illinois","Community water system","State","County","Peoria","-","-","-","-","Changed from public to non-public","04-OCT-2005","729 N. TRIVOLI RD","-","IL","61569"
"IL1435600","STEVER DISTRICT IMPROVEMENT ASSOCIATION","05","Illinois","Community water system","State","County","Peoria","-","-","-","-","Changed from public to non-public","03-NOV-2010","2301  W. HEROLD AVE.","-","IL","61604"
"IL1435760","WOODLAND HEIGHTS ESTATES SUBDIVISION","05","Illinois","Community water system","State","County","Peoria","-","-","-","-","Changed from public to non-public","23-JAN-2003","133 MILLER","-","IL","61526"
"IL1770010","WOODRIDGE ESTATES 1 WEST","05","Illinois","Community water system","State","County","Stephenson","-","-","-","-","Changed from public to non-public","05-MAR-2003","2284 WEST GALENA AVENUE","-","IL","61032"
"IL1770020","WOODRIDGE ESTATES 2","05","Illinois","Community water system","State","City","-","FREEPORT","-","-","-","Changed from public to non-public","06-NOV-2009","2284 WEST GALENA AVENUE","-","IL","61032"
"IL1770020","WOODRIDGE ESTATES 2","05","Illinois","Community water system","State","County","Stephenson","-","-","-","-","Changed from public to non-public","06-NOV-2009","2284 WEST GALENA AVENUE","-","IL","61032"
"IL1770030","WOODRIDGE ESTATES 1 EAST","05","Illinois","Community water system","State","County","Stephenson","-","-","-","-","Changed from public to non-public","05-MAR-2003","2284 WEST GALENA AVENUE","-","IL","61032"
"IL1795930","SYLMAR WATER CORPORTION","05","Illinois","Community water system","State","City","-","PEKIN","-","-","-","Changed from public to non-public","23-SEP-2005","18 JOSEPH CT","-","IL","61554"
"IL1795930","SYLMAR WATER CORPORTION","05","Illinois","Community water system","State","County","Tazewell","-","-","-","-","Changed from public to non-public","23-SEP-2005","18 JOSEPH CT","-","IL","61554"
"IL1835285","GLENDALE MHP","05","Illinois","Community water system","State","County","Vermilion","-","-","-","-","Changed from public to non-public","30-NOV-2001","-","-","IL","61832"
"IL1835285","GLENDALE MHP","05","Illinois","Community water system","State","City","-","DANVILLE TWP","-","-","-","Changed from public to non-public","30-NOV-2001","-","-","IL","61832"
"IL1955150","LAKEVIEW HILLS WATER SUPPLY COMPANY","05","Illinois","Community water system","State","County","Whiteside","-","-","-","-","Changed from public to non-public","04-AUG-2005","1707 AVENUE E","-","IL","61081"
"IL1450020","NEW CHERRY LAKE CLUB","05","Illinois","Community water system","State","County","Perry","-","-","-","-","Changed from public to non-public","09-AUG-2005","NEW CHERRY LAKE CLUB","2404 VIRGINIA LANE","IL","62832"
"IL1475100","LAPLACE","05","Illinois","Community water system","State","County","Piatt","-","-","-","-","Changed from public to non-public","01-DEC-2004","2550 SOUTH 70TH STREET","-","IL","62521"
"IL1575550","MENARD CORRECTIONAL CENTER","05","Illinois","Community water system","State","County","Randolph","-","-","-","-","Changed from public to non-public","05-MAR-2003","PO BOX 711","-","IL","62259"
"IL1610030","INDIAN HILLS SUBDIVISION","05","Illinois","Community water system","State","City","-","ROCK ISLAND","-","-","-","Changed from public to non-public","30-SEP-2005","8107 47TH STREET","-","IL","61264"
"IL1610030","INDIAN HILLS SUBDIVISION","05","Illinois","Community water system","State","County","Rock Island","-","-","-","-","Changed from public to non-public","30-SEP-2005","8107 47TH STREET","-","IL","61264"
"IL1610070","BYRON WOODS SUBDIVISION","05","Illinois","Community water system","State","County","Rock Island","-","-","-","-","Changed from public to non-public","06-NOV-2002","VILLAGE HALL","120 S MAIN ST","IL","61275"
"IL1610180","LAKEVIEW ESTATES MHP","05","Illinois","Community water system","State","County","Rock Island","-","-","-","-","Changed from public to non-public","05-MAR-2003","5111 UTICA RIDGE RD","-","IA","52807"
"IL1615350","FAIRACRES ASSOCIATION","05","Illinois","Community water system","State","County","Rock Island","-","-","-","-","Changed from public to non-public","06-FEB-2014","FAIR ACRES SUBDIVISION ASSN.","1013 A. STREET","IL","61282"
"IL1615400","GLENDALE WATER ASSOCIATION","05","Illinois","Community water system","State","County","Rock Island","-","-","-","-","Changed from public to non-public","10-FEB-2010","121 11TH STREET","-","IL","61282"
"IL1615416","FERROUS WATER ASSOCIATION","05","Illinois","Community water system","State","County","Rock Island","-","-","-","-","Changed from public to non-public","01-OCT-2002","8315 49TH STREET","-","IL","61240"
"IL1617186","BYRON HILLS SUBDIVISION WELL 3","05","Illinois","Community water system","State","City","-","PORT BYRON","-","-","-","Changed from public to non-public","23-MAR-2005","23504 96TH AVE. N.","-","IL","61275"
"IL1617186","BYRON HILLS SUBDIVISION WELL 3","05","Illinois","Community water system","State","County","Rock Island","-","-","-","-","Changed from public to non-public","23-MAR-2005","23504 96TH AVE. N.","-","IL","61275"
"IL1970110","CHANNAHON-WEST(HIGHLANDS SUBDIVISION)","05","Illinois","Community water system","State","City","-","CHANNAHON","-","-","-","Changed from public to non-public","01-JUL-2004","VILLAGE HALL","24555 NAVAJO DR.","IL","604103334"
"IL1970110","CHANNAHON-WEST(HIGHLANDS SUBDIVISION)","05","Illinois","Community water system","State","County","Will","-","-","-","-","Changed from public to non-public","01-JUL-2004","VILLAGE HALL","24555 NAVAJO DR.","IL","604103334"
"IL1971150","FOSSIL ROCK RECREATION AREA","05","Illinois","Community water system","State","County","Will","-","-","-","-","Changed from public to non-public","23-OCT-2007","6547 N. AVONDALE #301","-","IL","60631"
"IL1974150","BOLINGBROOK","05","Illinois","Community water system","State","City","-","BOLINGBROOK","-","-","-","Changed from public to non-public","27-NOV-2007","PUBLIC WORKS","1000 INTERNATIONALE PARKWAY","IL","60517"
"IL1974150","BOLINGBROOK","05","Illinois","Community water system","State","County","Will","-","-","-","-","Changed from public to non-public","27-NOV-2007","PUBLIC WORKS","1000 INTERNATIONALE PARKWAY","IL","60517"
"IL1974152","BOLINGBROOK SYSTEM 2","05","Illinois","Community water system","State","City","-","BOLINGBROOK","-","-","-","Changed from public to non-public","26-JUL-2002","PUBLIC WORKS","1000 INTERNATIONALE PARKWAY","IL","60517"
"IL1974152","BOLINGBROOK SYSTEM 2","05","Illinois","Community water system","State","County","Will","-","-","-","-","Changed from public to non-public","26-JUL-2002","PUBLIC WORKS","1000 INTERNATIONALE PARKWAY","IL","60517"
"IL1975060","IL AMERICAN-SANTA FE","05","Illinois","Community water system","State","City","-","BOLINGBROOK","-","-","-","Changed from public to non-public","25-JUL-2002","1000 INTERNATIONALE PARKWAY","-","IL","60517"
"IL1975060","IL AMERICAN-SANTA FE","05","Illinois","Community water system","State","County","Will","-","-","-","-","Changed from public to non-public","25-JUL-2002","1000 INTERNATIONALE PARKWAY","-","IL","60517"
"IL1975125","GIANNIS MHP","05","Illinois","Community water system","State","City","-","CRETE","-","-","-","Changed from public to non-public","21-FEB-2012","911 NORTH MAIN #4","-","IL","60417"
"IL1975125","GIANNIS MHP","05","Illinois","Community water system","State","County","Will","-","-","-","-","Changed from public to non-public","21-FEB-2012","911 NORTH MAIN #4","-","IL","60417"
"IL1975320","IL AMERICAN-CHICKASAW","05","Illinois","Community water system","State","County","Will","-","-","-","-","Changed from public to non-public","20-MAY-2002","-","-","IL","60542"
"IL1975320","IL AMERICAN-CHICKASAW","05","Illinois","Community water system","State","City","-","HOMER TWP","-","-","-","Changed from public to non-public","20-MAY-2002","-","-","IL","60542"
"IL1975425","BUSY BEE NO 2 MHP","05","Illinois","Community water system","State","County","Will","-","-","-","-","Changed from public to non-public","23-JUN-2010","13555 S ARCHER AVENUE","-","IL","60439"
"IL1975510","IL AMERICAN-DERBY MEADOWS","05","Illinois","Community water system","State","County","Will","-","-","-","-","Changed from public to non-public","14-SEP-2001","-","-","IL","60462"
"IL1975510","IL AMERICAN-DERBY MEADOWS","05","Illinois","Community water system","State","City","-","HOMER TWP","-","-","-","Changed from public to non-public","14-SEP-2001","-","-","IL","60462"
"IL1975680","FAIR ACRES SUBDIVISION","05","Illinois","Community water system","State","City","-","JOLIET","-","-","-","Changed from public to non-public","26-AUG-2016","412 Algonquin","-","IL","60432"
"IL1975680","FAIR ACRES SUBDIVISION","05","Illinois","Community water system","State","County","Will","-","-","-","-","Changed from public to non-public","26-AUG-2016","412 Algonquin","-","IL","60432"
"IL1617649","OAK GLEN NURSING HOME","05","Illinois","Community water system","State","County","Rock Island","-","-","-","-","Changed from public to non-public","01-JUL-2009","11210 95TH ST.","PO BOX 430","IL","61240-0430"
"IL1617726","11TH STREET A WELL","05","Illinois","Community water system","State","County","Rock Island","-","-","-","-","Changed from public to non-public","24-MAR-2005","-","-","IL","61265"
"IL1617726","11TH STREET A WELL","05","Illinois","Community water system","State","City","-","SOUTH MOLINE TWP","-","-","-","Changed from public to non-public","24-MAR-2005","-","-","IL","61265"
"IL1335100","MAPLE LEAF ESTATES WATER CORPORATION","05","Illinois","Community water system","State","County","Monroe","-","-","-","-","Changed from public to non-public","12-OCT-2004","6600 MEULLER RD","-","IL","62264"
"IL0075289","MAPLE CREST CARE CENTER LLC","05","Illinois","Community water system","State","County","Boone","-","-","-","-","Changed from public to non-public","26-DEC-2012","4452 SQUAW PRAIRIE ROAD","-","IL","61008"
"IL1617945","RIVER OAKS MHP","05","Illinois","Community water system","State","County","Rock Island","-","-","-","-","Changed from public to non-public","26-NOV-2014","1021 NORTH GRAND AVENUE EAST","P. O. BOX 19276","IL","62702"
"IL1630060","SCHMID LAKE SUBDIVISION","05","Illinois","Community water system","State","County","St. Clair","-","-","-","-","Changed from public to non-public","12-JUL-2002","-","-","IL","62240"
"IL1630060","SCHMID LAKE SUBDIVISION","05","Illinois","Community water system","State","City","-","SUGAR LOAF TWP","-","-","-","Changed from public to non-public","12-JUL-2002","-","-","IL","62240"
"IL3027268","HALF DAY INN","05","Illinois","Transient non-community system","State","County","Lake","-","-","-","-","Changed from public to non-public","30-MAY-2007","3010 Grand Avenue","-","IL","60085"
"IL0311471","JUSTICE-WESLEY FIELDS","05","Illinois","Community water system","State","City","-","JUSTICE","-","-","-","Changed from public to non-public","29-JAN-2008","8231 W. 81ST STREET","-","IL","60458"
"IL0311471","JUSTICE-WESLEY FIELDS","05","Illinois","Community water system","State","County","Cook","-","-","-","-","Changed from public to non-public","29-JAN-2008","8231 W. 81ST STREET","-","IL","60458"
"IL0315100","UTL INC-COUNTY LINE WATER COMPANY","05","Illinois","Community water system","State","County","Cook","-","-","-","-","Changed from public to non-public","23-JUN-2016","P.O. BOX 10","-","IL","60050"
"IL0437040","ST CHARLES COMMSSION WELLFUND 3","05","Illinois","Community water system","State","County","DuPage","-","-","-","-","Changed from public to non-public","06-MAY-2008","26W331 PETERSON AVE","-","IL","60188"
"IL0437200","TEE AND GREEN SUBDIVISION","05","Illinois","Community water system","State","County","DuPage","-","-","-","-","Changed from public to non-public","27-JAN-2011","1 S 539 BAYBERRY LN","-","IL","60187"
"IL0317950","PLUM GROVE CONDOS","05","Illinois","Community water system","State","County","Cook","-","-","-","-","Changed from public to non-public","25-NOV-2013","509 EAST PARK AVENUE","-","IL","60048"
"IL0375265","EVERGREEN MHP","05","Illinois","Community water system","State","County","DeKalb","-","-","-","-","Changed from public to non-public","16-JAN-2015","HOUSING AUTHORITY OF DEKALB CO.","507 E. TAYLOR ST.","IL","60115"
"IL0735425","RIVERVIEW MHP (HENRY COUNTY)","05","Illinois","Community water system","State","County","Henry","-","-","-","-","Changed from public to non-public","17-NOV-2017","103 S. College","-","IL","61254"
"IL3022871","LITTLE NICKS GRILL","05","Illinois","Transient non-community system","State","County","Lake","-","-","-","-","Changed from public to non-public","22-AUG-2007","3010 Grand Avenue","-","IL","60085"
"IL0719500","DELABAR STATE PARK","05","Illinois","Community water system","State","County","Henderson","-","-","-","-","Changed from public to non-public","23-NOV-2004","-","-","IL","-"
"IL0719500","DELABAR STATE PARK","05","Illinois","Community water system","State","City","-","OQUAWKA TWP","-","-","-","Changed from public to non-public","23-NOV-2004","-","-","IL","-"
"IL3013631","INDIAN VILLAGE","05","Illinois","Transient non-community system","State","County","Ogle","-","-","-","-","Changed from public to non-public","17-JAN-2007","104 South Fifth Street","-","IL","61061"
"IL3009258","CHIEF SHABBONA FOREST PRESERVE","05","Illinois","Transient non-community system","State","County","DeKalb","-","-","-","-","Changed from public to non-public","05-NOV-2020","110 E. SYCAMORE STREET","-","IL","60178"
"IL3004275","KILBUCK CREEK FP FORT CHARTERS","05","Illinois","Transient non-community system","State","County","Winnebago","-","-","-","-","Changed from public to non-public","06-SEP-2007","401 Division Street","-","IL","61104"
"IL3004440","SANNAUK FOREST PRESERVE","05","Illinois","Transient non-community system","State","County","DeKalb","-","-","-","-","Changed from public to non-public","28-AUG-2020","110 E. SYCAMORE STREET","-","IL","60178"
"IL3006247","NEHRING FOREST PRESERVE (6247)","05","Illinois","Transient non-community system","State","County","DeKalb","-","-","-","-","Changed from public to non-public","20-MAR-2007","2550 NORTH ANNIE GLIDDEN ROAD","-","IL","60115"
"IN2460024","ALEX TOTH/LALUMIERE,INC SCHOOL","05","Indiana","Non-Transient non-community system","State","County","LaPorte","-","-","-","-","Changed from public to non-public","15-SEP-2017","-","P.O. BOX 5005","IN","46350"
"IL3014118","TEMPO RESTAURANT","05","Illinois","Transient non-community system","State","County","DeKalb","-","-","-","-","Changed from public to non-public","20-MAR-2007","2550 North North Annie Glidden Road","-","IL","60115"
"IL3071662","FOX RIVER VALLEY BAPTIST SCHL","05","Illinois","Non-Transient non-community system","State","County","Kane","-","-","-","-","Changed from public to non-public","17-JAN-2007","210 South 6th Street","-","IL","60134"
"IL3116194","TUCKAWAY TAVERN","05","Illinois","Transient non-community system","State","County","Will","-","-","-","-","Changed from public to non-public","15-MAR-2007","501 Ella Avenue","-","IL","60433"
"IL3117713","ROSCOE AUTOMOTIVE","05","Illinois","Transient non-community system","State","County","Winnebago","-","-","-","-","Changed from public to non-public","23-SEP-2005","11951 MAIN ST","-","IL","61073"
"IL3117911","OAK WEST OFFICE PLAZA","05","Illinois","Non-Transient non-community system","State","County","DuPage","-","-","-","-","Changed from public to non-public","22-JAN-2007","111 North County Farm Road","-","IL","60187"
"IL3114595","BEAUTIFUL SAVIOR CHURCH","05","Illinois","Transient non-community system","State","County","Henry","-","-","-","-","Changed from public to non-public","22-SEP-2005","5765 POPPY GARDEN ROAD","-","IL","61241"
